|,|Black|2
0|100|White|9223372036854775807
1|101|Black|0
10|110|White|9223372036854775807
101||Black|1
11|111|White|9223372036854775807
12|112|White|9223372036854775807
13|113,131|White|9223372036854775807
14|114|White|9223372036854775807
15|115|White|9223372036854775807
16|116|White|9223372036854775807
17|117|White|9223372036854775807
18|118|White|9223372036854775807
19|119|White|9223372036854775807
2|102|White|9223372036854775807
20|120|White|9223372036854775807
21|121|White|9223372036854775807
22|122|White|9223372036854775807
23|123|White|9223372036854775807
24|124|White|9223372036854775807
25|125|White|9223372036854775807
26|126|White|9223372036854775807
27|127|White|9223372036854775807
28|128|White|9223372036854775807
29|129|White|9223372036854775807
3|103|White|9223372036854775807
30|130|White|9223372036854775807
31|132|White|9223372036854775807
32|133|White|9223372036854775807
33|134|White|9223372036854775807
34|135|White|9223372036854775807
35|136|White|9223372036854775807
36|137|White|9223372036854775807
37|138|White|9223372036854775807
38|139|White|9223372036854775807
39|140|White|9223372036854775807
4|104|White|9223372036854775807
40|141|White|9223372036854775807
41|142|White|9223372036854775807
42|143|White|9223372036854775807
43|144|White|9223372036854775807
44|145|White|9223372036854775807
45|146|White|9223372036854775807
46|147|White|9223372036854775807
47|148|White|9223372036854775807
48|149|White|9223372036854775807
49|150|White|9223372036854775807
5|105|White|9223372036854775807
50|151|White|9223372036854775807
51|152|White|9223372036854775807
52|153|White|9223372036854775807
53|154|White|9223372036854775807
54|155|White|9223372036854775807
55|156|White|9223372036854775807
56|157|White|9223372036854775807
57|158|White|9223372036854775807
58|159|White|9223372036854775807
59|160|White|9223372036854775807
6|106|White|9223372036854775807
60|161|White|9223372036854775807
61|162|White|9223372036854775807
62|163|White|9223372036854775807
63|164|White|9223372036854775807
64|165|White|9223372036854775807
65|166|White|9223372036854775807
66|167|White|9223372036854775807
67|168|White|9223372036854775807
68|169|White|9223372036854775807
69|170|White|9223372036854775807
7|107|White|9223372036854775807
70|171|White|9223372036854775807
71|172|White|9223372036854775807
72|173|White|9223372036854775807
73|174|White|9223372036854775807
74|175|White|9223372036854775807
75|176|White|9223372036854775807
76|177|White|9223372036854775807
77|178|White|9223372036854775807
78|179|White|9223372036854775807
79|180|White|9223372036854775807
8|108|White|9223372036854775807
80|181|White|9223372036854775807
81|182|White|9223372036854775807
82|183|White|9223372036854775807
83|184|White|9223372036854775807
84|185|White|9223372036854775807
85|186|White|9223372036854775807
86|187|White|9223372036854775807
87|188|White|9223372036854775807
88|189|White|9223372036854775807
89|190|White|9223372036854775807
9|109|White|9223372036854775807
90|191|White|9223372036854775807
91|192|White|9223372036854775807
92|193|White|9223372036854775807
93|194|White|9223372036854775807
94|195|White|9223372036854775807
95|196|White|9223372036854775807
96|197|White|9223372036854775807
97|198|White|9223372036854775807
98|199|White|9223372036854775807
99|200|White|9223372036854775807
